Point,Point,Accepted,Rejected,Residual,3-d,3-d,3-d,Sigma,Sigma,Sigma,Correction,Correction,Correction,Coordinate,Coordinate,Coordinate
AS15_000031832,FREE,2,0,  0.06,     24.77328040,      5.35717928,   1735.92943385,     61.53998475,     48.97982919,     61.77317292,    783.68981096,  -1211.07135620,   -679.82434490,   1569.29232668,    147.15857347,    727.40425280
AS15_000031841,FREE,2,0,  0.01,     24.64027950,      5.04166555,   1735.97831362,     61.06630656,     49.91944108,     71.08406856,    808.41257993,  -1175.30373012,   -596.35564658,   1571.80091343,    138.66659886,    723.76388985
AS15_000031862,FREE,3,1,  0.04,     25.69103645,      5.19656823,   1736.83015189,     57.16559117,     43.70095965,     57.97003590,    830.81763048,  -1208.42553472,   -791.53967988,   1558.70257213,    141.75891428,    752.94732776
AS15_000031899,FREE,3,0,  0.23,     24.82923291,      5.28209324,   1735.90454213,     60.53325940,     47.91580632,     59.29459978,    734.03218845,  -1225.14131047,   -819.87570726,   1568.75325291,    145.03434881,    728.93267764
AS15_000031901,FREE,2,0,  0.10,     23.45028797,      4.95209985,   1736.49585615,     67.96668979,     57.47338899,     70.45935206,    763.18794804,  -1288.39444162,   -822.82278380,   1587.12460049,    137.51849091,    691.04415605
AS15_000031912,FREE,2,0,  0.45,     26.21340544,      6.04959969,   1736.55854810,     63.94156337,     50.78377919,     61.75331810,    883.66414733,  -1115.50161887,   -683.13615467,   1549.28602711,    164.19264540,    767.06529865
AS15_000031925,FREE,2,0,  0.11,     25.49125313,      7.07135606,   1735.68042726,     74.17135616,     65.98472423,     72.89406895,    816.69828640,  -1191.39729143,   -763.43917081,   1554.79662575,    192.87085589,    746.99051604
AS15_000031957,FREE,3,1,  0.11,     24.24435620,      6.17540365,   1735.47570235,     72.34627623,     59.63356491,     75.27572713,    683.69599894,  -1154.37748556,  -1142.55203161,   1573.22871791,    170.22402554,    712.63672072
AS15_000031964,FREE,3,0,  0.21,     25.72044142,      6.01767786,   1736.57123758,     63.47810070,     50.81516966,     58.64460966,    811.68746162,  -1113.39602518,   -819.05496337,   1555.89455050,    164.01647643,    753.63811367
AS15_000031966,FREE,2,0,  0.05,     25.62725692,      5.50093047,   1736.77128835,     59.43975192,     46.21136064,     59.35781898,    822.29971148,  -1180.03445995,   -608.33620001,   1558.70804176,    150.11206141,    751.17915148
AS15_000031967,FREE,2,0,  0.48,     26.21648949,      5.24310053,   1736.96613919,     57.48692392,     43.52631396,     59.90670916,    890.65606020,  -1199.15330085,   -490.49226159,   1551.76667003,    142.39888932,    767.32921671
AS15_000031968,FREE,2,0,  0.48,     23.94945212,      5.02856635,   1736.31013217,     64.84266766,     53.08177585,     67.34322997,    673.43325639,  -1277.64737695,   -921.28773285,   1580.71318252,    139.08865785,    704.82129290
AS15_000031971,FREE,3,1,  0.28,     25.67096184,      5.05442214,   1736.94335817,     56.18463582,     42.63928397,     58.74402928,    838.66113457,  -1218.38316373,   -572.08946557,   1559.41378990,    137.92369247,    752.44794931
AS15_000031977,FREE,2,0,  0.14,     25.67737566,      7.76834099,   1734.29817531,     81.75368244,     72.22930236,     77.88212908,    835.69720328,  -1040.78657166,   -915.30604805,   1548.68863508,    211.27222893,    751.47702410
AS15_000031982,FREE,2,0,  0.07,     24.14201906,      6.38020293,   1734.85573070,     75.17332361,     63.69902945,     75.93780013,    757.91021390,  -1195.23395257,  -1052.03646336,   1573.31043715,    175.92460625,    709.55564096
AS15_000031985,FREE,4,2,  0.08,     24.93161490,      5.54823472,   1735.69351234,     62.26756973,     49.92582753,     60.69102530,    785.03185344,  -1210.38326596,   -700.33101976,   1566.57324005,    152.17500897,    731.65771984
AS15_000031986,FREE,2,0,  0.05,     25.51356774,      5.99481985,   1736.33241827,     63.80088085,     51.85970628,     68.21534751,    802.69455007,  -1113.17182156,   -845.73128294,   1558.44158596,    163.65635630,    747.88146583
AS15_000031987,FREE,2,0,  0.06,     25.95302603,      5.75566673,   1736.85708238,     61.29872977,     48.51402209,     69.19490483,    884.10271435,  -1151.85230617,   -735.00586119,   1553.82735457,    156.61742535,    760.10792580
AS15_000031990,FREE,2,0,  0.01,     24.83408430,      5.20952094,   1735.89444799,     60.81663466,     47.46087180,     68.72903687,    753.70309583,  -1219.28547327,   -778.03915797,   1568.86510434,    143.04077351,    729.06183281
AS15_000032006,FREE,2,0,  0.02,     24.39970932,      6.79946795,   1734.86250508,     75.74545848,     64.96149938,     68.25225819,    786.71435844,  -1182.25921943,  -1008.85776916,   1568.80241387,    187.05358712,    716.67137050
AS15_000032013,FREE,2,0,  0.13,     25.80405975,      7.94454831,   1734.40917371,     83.55530576,     74.53174564,     78.90261214,    840.19868383,  -1011.68620773,   -966.48235798,   1546.48114537,    215.81768852,    754.97945281
AS15_000032063,FREE,3,1,  0.06,     26.52124125,      6.66778665,   1736.38310535,     70.13463769,     57.68294375,     65.33406199,    924.94780697,  -1028.08156744,   -759.06085714,   1543.15273894,    180.39926361,    775.34638615
AS15_000032071,FREE,4,2,  0.40,     23.73694067,      5.69687616,   1735.49948445,     70.92730377,     60.01392946,     69.82968093,    742.77002746,  -1241.89686486,   -984.69425853,   1580.83534724,    157.70129707,    698.60458512
AS15_000032072,FREE,3,1,  0.19,     24.04677192,      5.65105667,   1735.76705289,     70.13298096,     59.55578889,     73.75775122,    756.45336186,  -1262.15501951,   -893.13051138,   1577.42162109,    156.08683195,    707.29427545
AS15_000032074,FREE,4,2,  0.04,     25.04142550,      5.60722528,   1735.64255826,     62.29466846,     49.90376529,     60.40711937,    758.09524279,  -1182.47568673,   -851.69978491,   1564.97136020,    153.64603390,    734.65136499
AS15_000032076,FREE,2,0,  0.14,     26.23151688,      5.72882372,   1736.69978130,     61.48235813,     48.04894948,     68.22268609,    888.26885203,  -1117.95427001,   -639.02866495,   1550.06570677,    155.50472436,    767.62016373
AS15_000032081,FREE,3,1,  0.35,     26.29211818,      4.83150918,   1737.47599106,     55.04528649,     40.50578056,     66.68996441,    916.15797215,  -1234.63856615,   -427.18381663,   1552.19443978,    131.20107977,    769.61127674
AS15_000032101,FREE,3,1,  0.03,     25.42198935,      4.93875211,   1736.25186401,     56.24651561,     42.78750735,     59.16159438,    808.67907945,  -1242.69063417,   -431.98023693,   1562.30964154,    135.00168247,    745.34130771
AS15_000032103,FREE,2,0,  0.15,     27.92080250,      5.48585092,   1735.59071959,     71.11009041,     55.78799134,     79.79229847,   1225.92343344,   -986.29249631,   -448.49549695,   1526.53650436,    146.60828584,    812.69148963
AS15_000032108,FREE,3,1,  0.15,     23.40754444,      4.95553127,   1736.47875550,     68.98936324,     57.89342346,     72.00215640,    771.38736533,  -1309.84844820,   -831.53409969,   1587.61388786,    137.65668164,    689.84871484
AS15_000032110,FREE,2,0,  0.70,     24.27282151,      5.31481176,   1735.88380549,     63.91985012,     52.28233885,     62.94329874,    801.48022991,  -1284.58576339,   -684.51407694,   1575.62566030,    146.57720953,    713.59055937
AS15_000032114,FREE,2,0,  0.08,     25.59858738,      4.92647949,   1736.89561531,     55.49995920,     44.89644115,     68.00697112,    847.34577354,  -1289.36952406,   -667.34742855,   1560.62070639,    134.51896787,    750.44922318
AS15_000032116,FREE,2,0,  0.00,     24.32841681,      4.51192600,   1736.25291466,     61.44908701,     51.42010896,     71.83922839,    698.73080585,  -1318.54415263,   -706.27292847,   1577.16916478,    124.45622861,    715.27774778
AS15_000032128,FREE,2,0,  0.09,     25.96785022,      6.09740814,   1736.52862542,     64.27299536,     52.21461192,     68.64781351,    856.22163803,  -1075.48142005,   -818.56418487,   1552.37634634,    165.83014671,    760.36814023
AS15_000032134,FREE,2,0,  0.49,     23.57121616,      3.90323332,   1736.92772450,     67.66725515,     53.88332254,     77.68595276,    569.13612286,  -1328.33591285,   -847.88421461,   1588.31221580,    108.37031256,    694.57764190
AS15_000032170,FREE,3,1,  0.03,     24.65122283,      3.97705799,   1737.12949494,     54.74565754,     42.11712747,     60.90991731,    723.45758264,  -1318.23066644,   -544.12114826,   1575.01180657,    109.50183209,    724.54540241
AS15_000032176,FREE,2,0,  0.19,     24.37400556,      6.60959578,   1735.14125384,     75.19511695,     64.78955129,     75.02303495,    749.29699129,  -1161.74334804,  -1084.72307468,   1569.98510579,    181.91993777,    716.07756187
AS15_000032189,FREE,3,0,  0.17,     24.92971344,      4.03904351,   1737.07515318,     53.19472745,     40.16439422,     57.69351764,    711.32414260,  -1292.41877717,   -624.50223812,   1571.31171179,    110.95285688,    732.18785549
AS15_000032195,FREE,2,0,  0.31,     25.44344339,      8.06484934,   1733.65379209,     85.57394119,     77.09400077,     79.88786748,    819.10794305,   -954.50818494,  -1226.39254117,   1550.02337368,    219.63088588,    744.81224872
AS15_000032198,FREE,2,0,  0.16,     25.70158649,      6.98642772,   1736.02835892,     72.86093805,     61.55310775,     64.61132259,    815.88712996,  -1053.75229920,   -947.83234745,   1552.65966658,    190.26930579,    752.88778315
AS15_000032200,FREE,2,0,  0.25,     26.07320933,      7.13392990,   1736.00976450,     74.45572922,     62.93405444,     74.46243442,    849.69423850,  -1030.69473969,   -729.21226765,   1547.27004697,    193.65323189,    763.00965261
AS15_000032202,FREE,2,0,  0.03,     25.32906214,      6.57134886,   1736.09872587,     69.50492919,     59.46973299,     70.51421074,    781.52793088,  -1074.33292751,   -984.74076897,   1558.89056736,    179.57986856,    742.73148297
AS15_000032205,FREE,3,1,  0.05,     24.01823081,      3.99032708,   1737.70191874,     61.31777328,     47.43990497,     71.73666613,    734.79935524,  -1323.18873443,   -575.64063685,   1583.39694478,    110.45328049,    707.29212246
AS15_000032244,FREE,2,0,  0.57,     27.88892215,      4.50343882,   1735.14028640,     61.61554597,     47.23567726,     70.56592865,   1289.79078525,  -1160.58482368,   -298.17040766,   1528.87945559,    120.41775276,    811.62737052
AS15_000032246,FREE,3,1,  0.02,     24.25535004,      4.09795370,   1737.13021751,     60.08970628,     48.48583176,     71.44036294,    667.79883680,  -1315.71714943,   -711.23845466,   1579.73356847,    113.18000071,    713.62001981
AS15_000032247,FREE,2,0,  0.19,     24.07278825,      3.93778102,   1737.80518702,     58.12243293,     46.89988140,     63.58483446,    802.67325634,  -1354.60251772,   -430.09926878,   1582.91902371,    108.96127321,    708.84530987
AS15_000032258,FREE,2,0,  0.03,     27.58693400,      3.43824964,   1735.38131051,     56.26904910,     42.27195943,     68.02703894,   1153.52016388,  -1350.79439104,     20.35906660,   1535.31590458,     92.24318001,    803.64454939
AS15_000032265,FREE,3,1,  0.03,     26.70939317,      5.24881847,   1735.48718555,     60.29389496,     44.71166305,     70.25693971,    967.77967762,  -1142.12926128,   -515.17088301,   1543.80601173,    141.82374003,    780.04153485
AS15_000032274,FREE,3,1,  0.08,     27.94181795,      3.91621757,   1735.23003918,     64.53773478,     47.98495522,     79.75297464,   1275.65765051,  -1241.90292410,   -123.53809492,   1529.36419532,    104.69649797,    813.08492191
AS15_000032276,FREE,2,0,  0.35,     26.57475002,      3.43100138,   1735.34817294,     51.81967146,     37.76300000,     69.51265820,    925.20309997,  -1268.01924067,   -175.35797885,   1549.22936229,     92.88242053,    776.33402626
AS15_000032277,FREE,2,0,  0.17,     26.81090499,      3.59403951,   1735.37780171,     52.44393297,     37.74495634,     62.93998371,   1020.38369329,  -1363.81865481,   -142.55578233,   1545.77852363,     97.09069845,    782.73767434
AS15_000032278,FREE,3,0,  0.21,     26.72735642,      3.38192888,   1735.44200431,     51.38857677,     36.86600957,     61.04633465,    983.87126687,  -1346.38968132,   -118.71513033,   1547.32236038,     91.43814725,    780.50722523
AS15_000032279,FREE,2,0,  0.09,     24.63810520,      6.72452547,   1735.11500194,     73.72266677,     62.69417431,     66.44329254,    776.43756847,  -1154.70779984,   -983.50781130,   1566.29868634,    184.67754859,    723.34410771
AS15_000032290,FREE,2,0,  0.50,     27.54423446,      5.69465845,   1735.03821382,     69.56346036,     52.53348602,     77.43029893,   1098.03482764,  -1104.48927176,   -385.39205014,   1530.78654626,    152.64867790,    802.33941343
AS15_000032291,FREE,3,1,  0.10,     24.17545385,      5.09953327,   1735.92648467,     63.51756452,     51.61279337,     64.70986349,    693.04913779,  -1252.01247137,   -884.07301440,   1577.40964578,    140.76710849,    710.91785092
AS15_000032303,FREE,2,0,  0.40,     23.52809268,      7.76395893,   1734.05012559,     93.82824247,     82.49568761,     87.33421721,   1011.05557335,  -1235.66981690,  -1043.98066667,   1575.31443200,    214.78179915,    692.23049423
AS15_000032304,FREE,2,0,  0.14,     24.66926422,      8.27773712,   1733.51413381,     90.76600981,     82.85172156,     83.03650228,    776.67271431,  -1008.34293085,  -1352.20197654,   1558.88834273,    226.79863612,    723.53352768
AS15_000032313,FREE,2,0,  0.04,     24.55988514,      6.46479257,   1735.33957801,     72.51963099,     61.83078882,     73.28472223,    742.49016472,  -1142.82320685,  -1056.03897541,   1568.30249596,    177.70935764,    721.28365875
AS15_000032315,FREE,2,0,  0.49,     23.51833524,      5.35051526,   1735.85557398,     73.72990128,     59.22931697,     78.55677624,    925.12558396,  -1275.80816957,   -681.66536215,   1584.72718231,    148.42002200,    692.68017760
AS15_000032317,FREE,3,1,  0.10,     24.74944884,      5.84554536,   1735.54950847,     65.41748118,     53.71071317,     62.35066170,    756.52289910,  -1176.15071363,   -888.39199143,   1567.93862907,    160.52474013,    726.58953999
AS15_000032323,FREE,2,0,  0.37,     26.58059305,      7.95257568,   1734.69727064,     84.75415684,     74.61653246,     81.14721489,    916.56361252,   -939.69975004,   -913.47673745,   1536.43046502,    214.63453217,    776.20104645
AS15_000032331,FREE,3,1,  0.71,     25.08663152,      5.47793511,   1735.84103603,     61.07740325,     48.48017387,     59.88268005,    801.38092446,  -1203.05813320,   -657.81962133,   1564.91554233,    150.07600626,    735.97597791
AS15_000032368,FREE,3,1,  0.10,     27.56826191,      3.56519461,   1735.35246324,     56.33145675,     42.16381244,     67.63695235,   1121.66105260,  -1300.65671146,     12.60633633,   1535.34355011,     95.65929951,    803.12991055
AS15_000032369,FREE,2,0,  0.11,     27.94906455,      3.77452924,   1735.28006239,     65.38660638,     47.82970408,     80.82415059,   1301.93925774,  -1413.16354109,    -31.48758250,   1529.55989271,    100.91031252,    813.30224293
AS15_000032371,FREE,2,0,  0.11,     28.08840132,      3.65466104,   1735.48160171,     60.51216864,     46.69597861,     73.16984312,   1292.13380306,  -1300.66265349,     10.19489925,   1527.96674286,     97.59508080,    817.12252619
AS15_000032376,FREE,2,0,  0.21,     26.35419997,      3.22801515,   1735.33538657,     50.78507130,     36.88186034,     68.96221374,    890.48331113,  -1307.03133780,   -144.97630162,   1552.50939432,     87.56025410,    770.34841878
AS15_000032379,FREE,2,0,  1.07,     28.38529504,      3.29845248,   1735.62681367,     62.74453750,     49.55014734,     77.27620526,   1366.11771062,  -1365.09948119,    148.66463506,   1524.42387012,     87.85641687,    825.11426515
AS15_000032381,FREE,2,0,  0.10,     27.73000499,      3.51297524,   1735.33041095,     57.43759463,     43.44657471,     69.39727141,   1201.66936737,  -1334.85618088,     -4.03170043,   1533.14156354,     94.11945501,    807.45904508
AS15_000032384,FREE,2,0,  0.01,     25.97795845,      5.85280905,   1736.66509841,     62.11626459,     53.00570174,     67.36330981,    818.71169951,  -1116.29779396,   -699.75776866,   1553.05871123,    159.20029754,    760.70333822
AS15_000032386,FREE,3,1,  0.30,     27.30755810,      5.66105588,   1735.85874549,     66.91633351,     50.71152971,     74.83423333,   1348.61923026,   -886.91617740,  -1078.36437085,   1534.88639520,    152.14843979,    796.35431209
AS15_000032389,FREE,2,0,  0.06,     25.08725630,      5.09891428,   1736.01302627,     58.75246028,     46.99266320,     66.67980972,    763.40729330,  -1250.19776920,   -636.22754079,   1566.02122669,    139.73375948,    736.06604419
AS15_000032395,FREE,3,1,  1.45,     24.99054212,      4.94991780,   1736.31873958,     57.65660744,     44.71692781,     58.04100072,    801.51718715,  -1176.29609614,   -508.42632891,   1567.89096369,    135.79180769,    733.54023500
AS15_000032402,FREE,3,0,  0.15,     27.69067053,      4.33771525,   1735.44722811,     59.86416265,     44.58178481,     69.69201520,   1182.17427629,  -1248.79751521,   -170.67312073,   1532.28351050,    116.22736235,    806.45863206
AS15_000032420,FREE,4,1,  0.18,     24.92698678,      5.43013291,   1735.42971798,     61.34272206,     48.60740013,     59.09417486,    761.90561549,  -1210.50281268,   -788.69186249,   1566.70426764,    148.92851913,    731.41940090
AS15_000032423,FREE,2,0,  0.08,     26.75615708,      5.15831600,   1735.45197235,     60.40728722,     46.41650699,     72.67648512,   1044.81849353,  -1257.59147195,   -496.18816697,   1543.36219671,    139.32490650,    781.29075798
AS15_000032428,FREE,2,0,  0.03,     27.38664238,      4.46688751,   1735.45144251,     60.51833700,     47.80456861,     74.56323173,    977.25091904,  -1179.00209615,   -113.81380320,   1536.26603347,    120.01345840,    798.29515439
AS15_000032429,FREE,4,2,  0.38,     27.89735883,      4.64819852,   1735.28761607,     66.41360927,     48.54324245,     78.56213000,    756.64060319,  -1317.47680483,    467.84411480,   1528.58098263,    124.28099487,    811.92211715
AS15_000032469,FREE,2,0,  0.73,     23.76264768,      3.02931630,   1735.82472622,     64.96811501,     54.87428597,     79.52199888,    719.18495156,  -1438.70448347,   -469.62751080,   1586.44597636,     83.95609225,    699.44836753
AS15_000032482,FREE,2,0,  0.08,     27.24567135,      5.75640642,   1736.64929485,     66.41804903,     54.48318919,     73.57538579,   1041.99320259,   -990.30748369,   -576.04409267,   1536.18529370,    154.85923450,    795.04976840
AS15_000032505,FREE,2,0,  0.60,     23.96159747,      2.61510402,   1735.98509619,     62.19598332,     50.07456321,     76.19254355,    662.42580866,  -1495.50492779,   -420.91855599,   1584.72211230,     72.38043272,    705.02564061
AS15_000032509,FREE,3,1,  0.30,     27.20203132,      2.70241513,   1735.95874383,     55.57574317,     40.65511465,     74.39881662,   1059.36892409,  -1391.51761766,    120.77777871,   1542.24493886,     72.79557853,    793.55788232
AS15_000032529,FREE,2,0,  0.30,     24.08128165,      2.29073372,   1735.73261860,     62.01436482,     48.72782940,     76.80291099,    711.72627275,  -1475.85307306,   -235.12952403,   1583.40116790,     63.33947019,    708.23483131
AS15_000032540,FREE,2,0,  0.73,     26.34663568,      2.87106245,   1735.43282883,     50.79402457,     38.02238452,     69.29109301,    942.56497866,  -1454.67754677,   -136.01871019,   1553.21353503,     77.89595123,    770.18636626
AS15_000032588,FREE,2,0,  0.48,     27.41641189,      2.74356012,   1735.71490376,     55.27949858,     41.99098905,     69.04998802,   1080.11597069,  -1397.42348172,    181.60316810,   1538.99946268,     73.75006792,    799.21699711
AS15_000032593,FREE,2,0,  0.23,     26.97834295,      2.47463985,   1735.53111385,     54.50714158,     42.60906379,     73.57259978,   1054.13841655,  -1503.77349836,    100.45564811,   1545.22488149,     66.78074032,    787.33007404
AS15_000032609,FREE,2,0,  0.07,     25.90578910,      2.79271325,   1735.34998270,     50.19374890,     36.95338236,     60.97912309,    852.68724958,  -1420.16741234,   -100.68684026,   1559.11708049,     76.05478857,    758.16169840
AS15_000032611,FREE,3,1,  0.61,     27.69736335,      2.68879804,   1735.84831247,     57.38217458,     44.26915288,     71.81977282,   1296.33199899,  -1640.02021517,    125.28884040,   1535.25408472,     72.09992074,    806.82455384
AS15_000032612,FREE,3,0,  0.19,     27.05479127,      2.46213319,   1735.54639574,     53.41703338,     40.76807020,     67.07164592,   1057.01476024,  -1452.87328992,     91.62244626,   1544.20209872,     66.39883955,    789.40000265
AS15_000032614,FREE,3,0,  0.28,     25.36153635,      5.05057421,   1735.91590958,     57.13737071,     43.58954777,     58.44981028,    799.70279295,  -1229.42978881,   -560.39776599,   1562.52328044,    138.09295633,    743.54245248
AS15_000032617,FREE,3,0,  0.22,     27.18441071,      4.53692739,   1734.98456690,     57.51111038,     42.11051553,     65.06674083,   1085.02764628,  -1229.39965148,   -317.54997378,   1538.50344053,    122.08061163,    792.63795968
AS15_000032622,FREE,2,0,  0.64,     27.87586874,      3.76663577,   1735.31764707,     63.35122351,     46.69031422,     79.07352166,   1151.13548622,  -1177.22921733,    -11.74234593,   1530.64243927,    100.76994404,    811.36088008
AS15_000032623,FREE,2,0,  0.19,     26.44270764,      3.22081706,   1735.40288900,     51.04654142,     37.02704588,     69.25865665,    897.31236612,  -1310.01181064,    -98.90979927,   1551.39075918,     87.30164356,    772.77960797
AS15_000032624,FREE,3,0,  0.26,     27.76449626,      3.44452815,   1735.34633123,     58.07877937,     43.46525900,     71.09295334,   1178.01367390,  -1284.16990891,      9.60202241,   1532.78149024,     92.25948084,    808.39098257
AS15_000032625,FREE,2,0,  0.07,     24.14878327,      2.38441439,   1735.82124502,     60.72820748,     49.85257212,     75.64660908,    807.52521321,  -1419.96626184,    -84.39801135,   1582.54152383,     65.89690739,    710.13753428
AS15_000032626,FREE,2,0,  0.16,     25.72402253,      2.15188707,   1735.59222226,     51.62937929,     40.23117297,     70.80900065,    821.09510965,  -1450.38297512,      6.86457141,   1562.48392285,     58.71062018,    753.31096892
AS15_000032630,FREE,2,0,  0.48,     24.01893957,      5.72545741,   1735.66138405,     70.97628508,     60.61997818,     74.22967815,    684.84847679,  -1241.69279645,  -1035.27931130,   1577.46324849,    158.15967017,    706.48118055
AS15_000032638,FREE,2,0,  0.07,     24.52379635,      4.76489831,   1736.18746126,     60.33680816,     47.53338374,     68.84574733,    656.77810269,  -1237.38720419,   -872.30298851,   1574.10511101,    131.21018913,    720.64130217
AS15_000032641,FREE,3,0,  0.07,     23.77910927,      3.03733834,   1735.81597081,     60.98210563,     49.41440556,     70.03220337,    695.80982650,  -1440.92303980,   -468.02916287,   1586.22546420,     84.16713527,    699.90124629
AS15_000032653,FREE,2,0,  0.33,     24.43236822,      4.00620310,   1737.06100954,     56.05040346,     44.00529115,     60.80358824,    680.89091823,  -1323.95936175,   -672.80567357,   1577.64301289,    110.49118554,    718.48115679
AS15_000032661,FREE,3,0,  0.05,     24.00397431,      6.49043427,   1735.02797712,     75.27245853,     64.34879632,     70.03032221,    875.53610806,  -1219.53640673,   -853.91599470,   1574.81943937,    179.16168107,    705.80939835
AS15_000032663,FREE,3,1,  1.28,     24.55049058,      6.17177532,   1735.89157182,     82.53688142,     62.14929448,    177.16157650,   1136.67199675,  -2635.54680440,   -577.84527187,   1569.80754983,    169.75328022,    721.25420585
AS15_000032670,FREE,2,0,  0.52,     24.43375482,      4.86952751,   1736.17711489,     60.12619899,     48.00408412,     61.25524992,    802.67527937,  -1262.37995670,   -554.59533471,   1574.97996607,    134.17964969,    718.15381524
AS15_000032673,FREE,3,1,  0.03,     24.42730371,      4.24845279,   1737.04059811,     58.99008112,     48.19480401,     70.33067743,    713.93591605,  -1326.60897618,   -627.69428254,   1577.20654452,    117.16386667,    718.33291985
AS15_000032685,FREE,4,2,  0.00,     27.58609296,      2.63517846,   1735.98463048,    147.31880806,     56.99313496,    245.78163958,   1128.70179285,  -1509.48306828,    301.73977723,   1537.00390746,     70.74060109,    803.90135781
